Municipio_Localidad,Lengua,Grupo_Etario,Hablantes_Estimados
Santa Rosa del Abuná,Castellano,Adultos,1400
Santa Rosa del Abuná,Castellano,Ancianos,240
Santa Rosa del Abuná,Portugués,Jóvenes,140
Santa Rosa del Abuná,Portugués,Adultos,310
Santa Rosa del Abuná,Machineri,Adultos,4
Ingavi,Castellano,Niños,380
Ingavi,Castellano,Jóvenes,420
Ingavi,Castellano,Adultos,850
Ingavi,Castellano,Ancianos,150
Ingavi,Cavineño,Adultos,9
Nueva Esperanza,Castellano,Niños,290
Nueva Esperanza,Castellano,Jóvenes,340
Nueva Esperanza,Castellano,Adultos,620
Nueva Esperanza,Castellano,Ancianos,110
Nueva Esperanza,Portugués,Adultos,85
Villa Nueva,Castellano,Niños,310
Villa Nueva,Castellano,Jóvenes,380
Villa Nueva,Castellano,Adultos,690
Villa Nueva,Castellano,Ancianos,125
Villa Nueva,Portugués,Adultos,70
Santos Mercado,Castellano,Niños,420
Santos Mercado,Castellano,Jóvenes,490
Santos Mercado,Castellano,Adultos,880
Santos Mercado,Castellano,Ancianos,160
San Pedro,Castellano,Niños,220
San Pedro,Castellano,Jóvenes,260
San Pedro,Castellano,Adultos,480
San Pedro,Castellano,Ancianos,90
Bella Flor,Castellano,Niños,850
Bella Flor,Castellano,Jóvenes,920
Bella Flor,Castellano,Adultos,1700
Bella Flor,Castellano,Ancianos,320
Bella Flor,Portugués,Adultos,110
Bella Flor,Cavineño,Adultos,5
Puerto Gonzalo Moreno,Castellano,Niños,1100
Puerto Gonzalo Moreno,Castellano,Jóvenes,1250
Puerto Gonzalo Moreno,Castellano,Adultos,2300
Puerto Gonzalo Moreno,Castellano,Ancianos,410
Puerto Gonzalo Moreno,Ese Ejja,Niños,60
Puerto Gonzalo Moreno,Ese Ejja,Jóvenes,75
Puerto Gonzalo Moreno,Ese Ejja,Adultos,130
Puerto Gonzalo Moreno,Ese Ejja,Ancianos,32
Comunidad Portachuelo,Ese Ejja,Niños,42
Comunidad Portachuelo,Ese Ejja,Jóvenes,48
Comunidad Portachuelo,Ese Ejja,Adultos,90
Comunidad Portachuelo,Ese Ejja,Ancianos,21
Comunidad Portachuelo,Castellano,Adultos,110
Comunidad Las Mercedes,Cavineño,Niños,33
Comunidad Las Mercedes,Cavineño,Jóvenes,37
Comunidad Las Mercedes,Cavineño,Adultos,72
Comunidad Las Mercedes,Cavineño,Ancianos,15
Comunidad Las Mercedes,Castellano,Adultos,85
Comunidad San Miguel,Ese Ejja,Niños,28
Comunidad San Miguel,Ese Ejja,Jóvenes,35
Comunidad San Miguel,Ese Ejja,Adultos,64
Comunidad San Miguel,Ese Ejja,Ancianos,14
Comunidad San Silvestre,Machineri,Niños,15
Comunidad San Silvestre,Machineri,Jóvenes,18
Comunidad San Silvestre,Machineri,Adultos,32
Comunidad San Silvestre,Machineri,Ancianos,7
Comunidad San Silvestre,Castellano,Adultos,45
Comunidad Puerto Yaminahua,Yaminahua,Niños,18
Comunidad Puerto Yaminahua,Yaminahua,Jóvenes,22
Comunidad Puerto Yaminahua,Yaminahua,Adultos,41
Comunidad Puerto Yaminahua,Yaminahua,Ancianos,9
Comunidad Puerto Yaminahua,Castellano,Adultos,35
Comunidad Alto Ivon,Cavineño,Niños,50
Comunidad Alto Ivon,Cavineño,Jóvenes,58
Comunidad Alto Ivon,Cavineño,Adultos,115
Comunidad Alto Ivon,Cavineño,Ancianos,26
Cobija-Barrio Frontera,Portugués,Niños,210
Cobija-Barrio Frontera,Portugués,Jóvenes,430
Cobija-Barrio Frontera,Portugués,Adultos,850
Cobija-Barrio Frontera,Portugués,Ancianos,140
Chivé,Castellano,Niños,340
Chivé,Castellano,Jóvenes,390
Chivé,Castellano,Adultos,710
Chivé,Castellano,Ancianos,130
Chivé,Ese Ejja,Adultos,12
Exaltación,Castellano,Adultos,180
Exaltación,Cavineño,Adultos,14
Triángulo de la Patria,Castellano,Adultos,95
Triángulo de la Patria,Portugués,Adultos,65
Comunidad El Paquió,Castellano,Adultos,120
Comunidad El Paquió,Ese Ejja,Adultos,8
Comunidad Mukden,Castellano,Adultos,230
Comunidad Mukden,Machineri,Adultos,4
Comunidad Villa Rosario,Castellano,Adultos,310
Comunidad Villa Rosario,Cavineño,Adultos,11
Comunidad Florida,Castellano,Adultos,190
Comunidad Florida,Portugués,Adultos,45
Comunidad Extrema,Castellano,Adultos,150
Comunidad Extrema,Portugués,Adultos,80
Comunidad Nacebe,Castellano,Adultos,140
Comunidad Nacebe,Pacahuara,Ancianos,2
Comunidad Puerto Heath,Castellano,Adultos,90
Comunidad Puerto Heath,Ese Ejja,Adultos,25
Comunidad Genechiquía,Castellano,Adultos,175
Comunidad Genechiquía,Cavineño,Adultos,32
Comunidad Nuevo Mundo,Castellano,Adultos,115
Comunidad Palmira,Castellano,Adultos,210
Comunidad Palmira,Portugués,Adultos,55
Comunidad Holanda,Castellano,Adultos,130
Comunidad San Francisco,Castellano,Adultos,165
Comunidad San Francisco,Ese Ejja,Adultos,14
Comunidad Bruno Racua,Castellano,Adultos,185
Comunidad Alianza,Castellano,Adultos,140
Comunidad Buen Futuro,Castellano,Adultos,220
Comunidad Luz de América,Castellano,Adultos,95
Comunidad Miraflores,Castellano,Adultos,135
Comunidad Miraflores,Cavineño,Adultos,8
Comunidad Conquista,Castellano,Adultos,240
Comunidad Conquista,Cavineño,Adultos,19
Comunidad Puerto Oro,Castellano,Adultos,85
Comunidad Central,Castellano,Adultos,310
Comunidad Trinidacito,Castellano,Adultos,150
Comunidad Trinidacito,Cavineño,Adultos,42
Comunidad Trinidacito,Cavineño,Ancianos,8
Comunidad San Martín,Castellano,Adultos,110
Comunidad San Miguelito,Castellano,Adultos,95
Comunidad Santa Elena,Castellano,Adultos,130
Comunidad El Carmen,Castellano,Adultos,160
Comunidad Sipamanu,Castellano,Adultos,125
Comunidad Sipamanu,Yaminahua,Adultos,5
Comunidad Puerto Pérez,Castellano,Adultos,195
Comunidad Puerto Pérez,Ese Ejja,Adultos,11
Comunidad Puerto Rico Centro,Castellano,Adultos,215
Comunidad Puerto Rico Centro,Cavineño,Adultos,14
Comunidad Buyuyo,Castellano,Adultos,110
Comunidad Buyuyo,Portugués,Adultos,35
Comunidad San Pedro Bajo,Castellano,Adultos,85
Comunidad San Tadeo,Castellano,Adultos,90
Comunidad San Tadeo,Ese Ejja,Adultos,6
Comunidad Mercedes de lvon,Cavineño,Adultos,45
Comunidad Mercedes de lvon,Cavineño,Ancianos,9
Comunidad San Antonio,Castellano,Adultos,130
Comunidad San Antonio,Portugués,Adultos,22
Comunidad Mapajo,Castellano,Adultos,105
Comunidad Jericó,Castellano,Adultos,140
Comunidad Jericó,Cavineño,Adultos,12
Comunidad Bella Vista,Castellano,Adultos,160
